begin_year,distance,eqMagnitude,text,line1,line2,line3
1919,424,,AUGUST 1919; MNA; 424 km away; NA damage,AUGUST 1919,MNA; 424 km away,NA damage
1950,431,6.1,JULY 1950; M6.1; 431 km away; Severe damage; 300 fatalities,JULY 1950,M6.1; 431 km away,Severe damage
1961,284,6.5,JUNE 1961; M6.5; 284 km away; NA damage,JUNE 1961,M6.5; 284 km away,NA damage
1967,491,6.8,JULY 1967; M6.8; 491 km away; Moderate damage; 20 fatalities,JULY 1967,M6.8; 491 km away,Moderate damage
1974,484,5.0,APRIL 1974; M5; 484 km away; Moderate damage; 4 fatalities,APRIL 1974,M5; 484 km away,Moderate damage
1974,386,7.3,JULY 1974; M7.3; 386 km away; Limited damage; 11 fatality,JULY 1974,M7.3; 386 km away,Limited damage
1976,445,6.7,JULY 1976; M6.7; 445 km away; Limited damage; 5 fatalities,JULY 1976,M6.7; 445 km away,Limited damage
1977,357,6.5,AUGUST 1977; M6.5; 357 km away; Moderate damage; 3 fatalities,AUGUST 1977,M6.5; 357 km away,Moderate damage
1980,426,5.0,NOVEMBER 1980; M5; 426 km away; Moderate damage,NOVEMBER 1980,M5; 426 km away,Moderate damage
1981,414,5.4,OCTOBER 1981; M5.4; 414 km away; Moderate damage; 15 fatalities,OCTOBER 1981,M5.4; 414 km away,Moderate damage
1992,426,7.0,OCTOBER 1992; M7; 426 km away; Moderate damage,OCTOBER 1992,M7; 426 km away,Moderate damage
1992,404,7.4,OCTOBER 1992; M7.4; 404 km away; Moderate damage; 11 fatality,OCTOBER 1992,M7.4; 404 km away,Moderate damage
2000,458,6.5,NOVEMBER 2000; M6.5; 458 km away; Moderate damage,NOVEMBER 2000,M6.5; 458 km away,Moderate damage
2015,491,6.2,MARCH 2015; M6.2; 491 km away; Severe damage,MARCH 2015,M6.2; 491 km away,Severe damage
2018,473,4.9,APRIL 2018; M4.9; 473 km away; Moderate damage,APRIL 2018,M4.9; 473 km away,Moderate damage
