week,monthName,fwi
1,Jan,23.66
2,Jan,24.5
3,Jan,29.1
4,Jan,31.58
5,Feb,31.77
6,Feb,36.42
7,Feb,37.98
8,Feb,39.05
9,Feb,39.11
10,Mar,37.26
11,Mar,35.0
12,Mar,37.1
13,Mar,35.79
14,Apr,27.3
15,Apr,21.75
16,Apr,12.67
17,Apr,6.98
18,May,8.6
19,May,5.16
20,May,4.73
21,May,2.43
22,May,2.87
23,Jun,2.91
24,Jun,3.67
25,Jun,8.11
26,Jun,9.37
27,Jul,10.23
28,Jul,8.64
29,Jul,11.2
30,Jul,5.96
31,Aug,2.85
32,Aug,4.7
33,Aug,3.3
34,Aug,3.61
35,Aug,3.51
36,Sep,0.84
37,Sep,0.95
38,Sep,0.88
39,Sep,0.91
40,Oct,0.95
41,Oct,1.12
42,Oct,1.7
43,Oct,0.81
44,Nov,0.79
45,Nov,1.79
46,Nov,1.22
47,Nov,2.37
48,Dec,4.89
49,Dec,9.28
50,Dec,13.18
51,Dec,15.78
52,Dec,19.92
53,Dec,19.07
