year,yearName,uba,ubaGrowthPercentage
1,1985,98.56,
2,1986,100.89,2.364
3,1987,103.21,2.3
4,1988,104.75,1.492
5,1989,106.68,1.842
6,1990,109.99,3.103
7,1991,115.45,4.964
8,1992,117.07,1.403
9,1993,119.32,1.922
10,1994,120.69,1.148
11,1995,121.48,0.655
12,1996,128.0,5.367
13,1997,133.71,4.461
14,1998,137.74,3.014
15,1999,140.78,2.207
16,2000,143.54,1.961
17,2001,145.8,1.574
18,2002,147.57,1.214
19,2003,149.55,1.342
20,2004,151.97,1.618
21,2005,154.07,1.382
22,2006,156.57,1.623
23,2007,159.13,1.635
24,2008,162.38,2.042
25,2009,166.04,2.254
26,2010,169.78,2.252
27,2011,173.31,2.079
28,2012,176.36,1.76
29,2013,179.86,1.985
30,2014,183.03,1.762
31,2015,184.92,1.033
