year,cumulative sq km
1985,98.56269207243294
1986,100.8926750328565
1987,103.20677174582264
1988,104.7450900412841
1989,106.6805645231814
1990,109.98755170223713
1991,115.44712541177508
1992,117.07193549894924
1993,119.32425236069203
1994,120.68958707272812
1995,121.4821343069934
1996,127.99726090314749
1997,133.7074842947916
1998,137.74082601037333
1999,140.77774698265267
2000,143.5401889016397
2001,145.8013314564144
2002,147.5664700627959
2003,149.54607300985273
2004,151.96872574711134
2005,154.07277096591807
2006,156.5704420939479
2007,159.13254078111063
2008,162.38127838615577
2009,166.04394099439736
2010,169.7780917161974
2011,173.31278177547634
2012,176.36117614869718
2013,179.86321114375806
2014,183.03340008081923
2015,184.92121582034423
