year,coastal_2020,comb_2020,fluvial_2020,pluvial_2020
1985,0.6925769084612974,11.85663470770384,0.3418827487060857,11.117357320682174
1986,0.7383962459167521,12.396774205015259,0.3550998652797746,11.623132314902001
1987,0.766592761273955,12.912241751389125,0.36479241743381313,12.11216562812849
1988,0.7718796079034306,13.076133996902866,0.3709604051682013,12.269889885907844
1989,0.8000761232606335,13.448856684280893,0.37536611069276427,12.627633174502357
1990,0.8115309576244972,14.059487469985319,0.3894643683713657,13.225927984738007
1991,0.857350295079952,14.734441556348365,0.4123740370990931,13.87973468458315
1992,0.8670428472339905,15.023455838759695,0.41854202483348124,14.159056414840443
1993,0.9216735957385712,15.59619755695288,0.4238288714629568,14.720343298669764
1994,0.9445832644662986,15.850847336272619,0.42735343588260716,14.958251396996165
1995,0.9481078288859489,16.001522465212673,0.4299968591973449,15.103639679306742
1996,1.0000951540757919,17.704768221008713,0.4749350555478871,16.746967839968725
1997,1.0291728105379074,18.86258763286386,0.5066561353247404,17.874828454256843
1998,1.0441522093214215,19.703196246950473,0.5216355341082545,18.702219951769766
1999,1.0547259025803726,20.271532259619093,0.5251600985279048,19.262625694494176
2000,1.0697053013638866,20.92357667725441,0.5498320494654574,19.89264158450668
2001,1.0785167124130126,21.46459731567074,0.5665737304587967,20.422207388559148
2002,1.0838035590424882,21.903405585917213,0.6000570924454751,20.84074941339263
2003,1.097020675616177,22.35190640831772,0.6150364912289892,21.271627413694887
2004,1.105832086665303,22.889402482314402,0.6300158900125032,21.796787512222792
2005,1.1164057799242542,23.43306654404547,0.656450123159881,22.321947610750698
2006,1.1401965897568942,24.13004915803133,0.6661426753139196,23.007475390372694
2007,1.1595816940649712,24.905453330354412,0.6811220740974336,23.761732176177873
2008,1.1772045161632232,26.154030276015554,0.6961014728809477,24.993567440845677
2009,1.2221427125137654,27.268673773729983,0.708437448349724,26.07913328209799
2010,1.24417124013658,28.7392982778291,0.7269414115528884,27.534778387413596
2011,1.2635563444446571,29.746442560744192,0.7718796079034306,28.516369578286223
2012,1.2785357432281712,30.421396647107237,0.8036006876802839,29.17105741923628
2013,1.2926340009067727,31.208255653794183,0.8265103564080113,29.942055886034797
2014,1.2988019886411608,31.966918145123923,0.8397274729817001,30.691025825210502
2015,1.3084945407951993,32.37576761780337,0.852944589555389,31.086658181316256
