BEGAN,text,line1,line2,line3,line4,above_line,distance,eqMagnitude,magXdist,location,node_x,node_y
1919-08-19,AUGUST 1919; MNA; 424 km away; NA damage,AUGUST 1919,MNA; 424 km away,NA damage,,-1,423.516045387784,NA,NA,", Maracaibo",1904-05-25,-4100.067698503915
1950-07-09,JULY 1950; M6.1; 431 km away; Severe damage; 300 fatalities,JULY 1950,M6.1; 431 km away,Severe damage,300 fatalities,1,430.75888024797223,6.1,9572.370830487369,Anboledas,1965-10-01,4100.067698503915
1961-06-16,JUNE 1961; M6.5; 284 km away; NA damage,JUNE 1961,M6.5; 284 km away,NA damage,,-1,284.4216674699334,6.5,11151.259161445432,n Colombia,1946-03-23,-4100.067698503915
1967-07-29,JULY 1967; M6.8; 491 km away; Moderate damage; 20 fatalities,JULY 1967,M6.8; 491 km away,Moderate damage,20 fatalities,1,490.66657791349644,6.8,10263.467270188225,NA,1982-10-21,4100.067698503915
1974-04-18,APRIL 1974; M5; 484 km away; Moderate damage; 4 fatalities,APRIL 1974,M5; 484 km away,Moderate damage,4 fatalities,-1,483.6663732424364,5,7581.668133787818,"Ne, Cepita, San Andreas",1959-01-23,-4100.067698503915
1974-07-13,JULY 1974; M7.3; 386 km away; Limited damage; 11 fatality,JULY 1974,M7.3; 386 km away,Limited damage,11 fatality,1,385.94120522853206,7.3,11782.629201831716,", Cali, Pereira",1989-10-05,4100.067698503915
1976-07-11,JULY 1976; M6.7; 445 km away; Limited damage; 5 fatalities,JULY 1976,M6.7; 445 km away,Limited damage,5 fatalities,-1,444.74638523077914,6.7,10420.19921895378,NA,1961-04-17,-4100.067698503915
1977-08-31,AUGUST 1977; M6.5; 357 km away; Moderate damage; 3 fatalities,AUGUST 1977,M6.5; 357 km away,Moderate damage,3 fatalities,1,356.71917404635184,6.5,10681.325368698714,"Apartado, Medellin",1992-11-23,4100.067698503915
1980-11-26,NOVEMBER 1980; M5; 426 km away; Moderate damage,NOVEMBER 1980,M5; 426 km away,Moderate damage,,-1,426.09531112985644,5,7869.523444350718,E,1965-09-02,-4100.067698503915
1981-10-18,OCTOBER 1981; M5.4; 414 km away; Moderate damage; 15 fatalities,OCTOBER 1981,M5.4; 414 km away,Moderate damage,15 fatalities,1,413.6994333622299,5.4,8566.02305984396,N Colombia,1997-01-10,4100.067698503915
1992-10-17,OCTOBER 1992; M7; 426 km away; Moderate damage,OCTOBER 1992,M7; 426 km away,Moderate damage,,-1,426.01461648317115,7,11017.897684617801,"Murindo, Cali",1977-07-24,-4100.067698503915
1992-10-18,OCTOBER 1992; M7.4; 404 km away; Moderate damage; 11 fatality,OCTOBER 1992,M7.4; 404 km away,Moderate damage,11 fatality,1,404.3731751048556,7.4,11807.638504224069,"Murindo, Apartado, Medellin",2008-01-11,4100.067698503915
2000-11-08,NOVEMBER 2000; M6.5; 458 km away; Moderate damage,NOVEMBER 2000,M6.5; 458 km away,Moderate damage,,-1,458.3289762524262,6.5,10020.86165435923,Jurado,1985-08-15,-4100.067698503915
2015-03-10,MARCH 2015; M6.2; 491 km away; Severe damage,MARCH 2015,M6.2; 491 km away,Severe damage,,1,490.5179121808399,6.2,9358.788944478792,"Antioquia, Santander",2030-06-02,4100.067698503915
2018-04-03,APRIL 2018; M4.9; 473 km away; Moderate damage,APRIL 2018,M4.9; 473 km away,Moderate damage,,-1,472.929195574011,4.9,7482.646941687347,Merida,2003-01-08,-4100.067698503915
