Group,Indicator,Share
Cartagena,Consumer services,0.14646447461159545
Cartagena,Industry,0.3025680674949971
Cartagena,Public services,0.23257709726092152
Cartagena,Transport & ICT,0.10102858590149125
Cartagena,Financial & business services,0.21007293557542012
Cartagena,Agriculture,0.007288839155574525
Benchmark,Consumer services,0.1825758096916818
Benchmark,Industry,0.2687687044543697
Benchmark,Public services,0.17954451208055097
Benchmark,Transport & ICT,0.1234103428166803
Benchmark,Financial & business services,0.24543184582720665
Benchmark,Agriculture,0.009934407446540216
