Group,Age_Bracket,Percentage,order,cumpct
Cartagena,0-4,0.06996248859043708,1,0.06996248859043708
Cartagena,5-9,0.0694111388714606,1,0.1393736274618977
Cartagena,10-14,0.07192958013634242,1,0.2113032075982401
Cartagena,15-19,0.07894795015994192,1,0.290251157758182
Cartagena,20-24,0.0849265643083272,1,0.37517772206650923
Cartagena,25-29,0.08498746718787886,1,0.4601651892543881
Cartagena,30-34,0.07824467673894953,1,0.5384098659933376
Cartagena,35-39,0.07779643313352955,1,0.6162062991268671
Cartagena,40-44,0.0715825528289205,1,0.6877888519557877
Cartagena,45-49,0.0625345208955477,1,0.7503233728513353
Cartagena,50-54,0.05808713377359578,1,0.8084105066249311
Cartagena,55-59,0.053941585134094645,1,0.8623520917590257
Cartagena,60-64,0.04356853840140153,1,0.9059206301604272
Cartagena,65-69,0.03452080820328597,1,0.9404414383637133
Cartagena,70-74,0.024822457386564856,1,0.9652638957502782
Cartagena,75-79,0.0161233028741649,1,0.981387198624443
Cartagena,80+,0.018612801375557042,1,1
Benchmark,0-4,0.06268415900952769,2,1.0626841590095277
Benchmark,5-9,0.0682037173179994,2,1.1308878763275272
Benchmark,10-14,0.07115807618127513,2,1.2020459525088023
Benchmark,15-19,0.07377411075687192,2,1.2758200632656742
Benchmark,20-24,0.0789095836154483,2,1.3547296468811225
Benchmark,25-29,0.08324591218681067,2,1.437975559067933
Benchmark,30-34,0.08217411363591455,2,1.5201496727038477
Benchmark,35-39,0.07810331163859807,2,1.5982529843424458
Benchmark,40-44,0.07319542095228082,2,1.6714484052947265
Benchmark,45-49,0.06535369278915026,2,1.736802098083877
Benchmark,50-54,0.05983146629195934,2,1.7966335643758362
Benchmark,55-59,0.0565696325652302,2,1.8532031969410665
Benchmark,60-64,0.04684793162642156,2,1.900051128567488
Benchmark,65-69,0.033182031691638234,2,1.9332331602591262
Benchmark,70-74,0.02394389644744923,2,1.9571770567065754
Benchmark,75-79,0.01650730707178548,2,1.973684363778361
Benchmark,80+,0.019696631428484147,2,1.993380995206845
